ISO,WEO Subject Code,Country,Subject Descriptor,Subject Notes,Units,Scale,Country/Series-specific Notes,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,Estimates Start After
LTU,NGDP_R,Lithuania,"Gross domestic product, constant prices","Expressed in billions of national currency units; the base year is country-specific. Expenditure-based GDP is total final expenditures at purchasers? prices (including the f.o.b. value of exports of goods and services), less the f.o.b. value of imports of goods and services. [SNA 1993]",National currency,Billions,"Source: National Statistics Office. Data from Statistics Lithuania: http://www.stat.gov.lt/en/ Latest actual data: 2016 Notes: Data prior to 1995 cannot be confirmed by national sources at this time. National accounts manual used: European System of Accounts (ESA) 2010 GDP valuation: Market prices Start/end months of reporting year: January/December Base year: 2010 Chain-weighted: Yes, from 2005 Primary domestic currency: European euro Data last updated: 09/2017",n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,14.572,15.335,16.607,17.847,17.645,18.321,19.516,20.835,23.031,24.54,26.436,28.394,31.542,32.371,27.576,28.028,29.723,30.863,31.945,33.062,33.65,34.423,35.636,36.87,38.128,39.354,40.583,41.82,2016
LUX,NGDP_R,Luxembourg,"Gross domestic product, constant prices","Expressed in billions of national currency units; the base year is country-specific. Expenditure-based GDP is total final expenditures at purchasers? prices (including the f.o.b. value of exports of goods and services), less the f.o.b. value of imports of goods and services. [SNA 1993]",National currency,Billions,"Source: National Statistics Office Latest actual data: 2016 National accounts manual used: European System of Accounts (ESA) 2010 GDP valuation: Market prices Start/end months of reporting year: January/December Base year: 2010 Chain-weighted: Yes, from 1995. The Luxembourg statistics office (STATEC) publishes the national accounts data starting from 2000 only. Previously, the same data were published from 1995, but when the authorities moved to the ESA 2010 standard, the historical data were only revised back to 2000. Primary domestic currency: Euro Data last updated: 09/2017",11.447,11.538,11.658,11.878,12.44,13.136,14.448,15.018,16.29,17.886,18.837,20.465,20.838,21.713,22.543,22.866,23.212,24.59,26.187,28.392,30.789,31.568,32.774,33.308,34.511,35.606,37.45,40.579,40.059,38.313,40.178,41.198,41.053,42.691,45.094,46.899,48.859,50.752,52.597,54.313,56.01,57.728,59.479,2016
MAC,NGDP_R,Macao SAR,"Gross domestic product, constant prices","Expressed in billions of national currency units; the base year is country-specific. Expenditure-based GDP is total final expenditures at purchasers? prices (including the f.o.b. value of exports of goods and services), less the f.o.b. value of imports of goods and services. [SNA 1993]",National currency,Billions,"Source: National Statistics Office Latest actual data: 2016 National accounts manual used: System of National Accounts (SNA) 2008 GDP valuation: Market prices Start/end months of reporting year: January/December Base year: 2015 Chain-weighted: Yes, from 2001 Primary domestic currency: Macanese pataca",n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,111.626,121.613,135.786,172.116,185.987,210.75,241.197,249.382,252.678,316.514,385.111,420.684,467.802,462.183,362.641,354.891,402.582,430.709,456.997,480.359,501.119,522.618,2016
MKD,NGDP_R,FYR Macedonia,"Gross domestic product, constant prices","Expressed in billions of national currency units; the base year is country-specific. Expenditure-based GDP is total final expenditures at purchasers? prices (including the f.o.b. value of exports of goods and services), less the f.o.b. value of imports of goods and services. [SNA 1993]",National currency,Billions,Source: National Statistics Office Latest actual data: 2016 National accounts manual used: European System of Accounts (ESA) 2010 GDP valuation: Market prices Start/end months of reporting year: January/December Base year: 2005 Chain-weighted: No Primary domestic currency: Macedonian denar,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,269.265,249.07,244.587,241.897,244.799,248.106,256.494,267.646,279.794,271.212,275.263,281.381,294.533,308.447,324.292,345.285,364.179,362.873,375.062,383.837,382.086,393.263,407.535,423.191,433.374,444.208,458.423,474.009,491.074,508.752,528.085,2016
MDG,NGDP_R,Madagascar,"Gross domestic product, constant prices","Expressed in billions of national currency units; the base year is country-specific. Expenditure-based GDP is total final expenditures at purchasers? prices (including the f.o.b. value of exports of goods and services), less the f.o.b. value of imports of goods and services. [SNA 1993]",National currency,Billions,Source: National Statistics Office Latest actual data: 2015 National accounts manual used: 1968 GDP valuation: Market prices Start/end months of reporting year: January/December Base year: 2000 Chain-weighted: No Primary domestic currency: Malagasy ariary Data last updated: 08/2017,4211.68,3798.93,3726.75,3760.3,3826.48,3870.73,3946.61,3992.97,4129.01,4297.27,4431.72,4152.24,4201.28,4289.5,4287.69,4359.67,4453.58,4618.07,4798.97,5024.48,5248.42,5562.28,4872.12,5348.85,5630.04,5897.79,6216.19,6615.27,7092,6756.81,6774.59,6873.12,7081.2,7240.9,7481,7714.15,8036.6,8385.09,8831.15,9348,9861.09,10371.47,10890.14,2015
MWI,NGDP_R,Malawi,"Gross domestic product, constant prices","Expressed in billions of national currency units; the base year is country-specific. Expenditure-based GDP is total final expenditures at purchasers? prices (including the f.o.b. value of exports of goods and services), less the f.o.b. value of imports of goods and services. [SNA 1993]",National currency,Billions,Source: National Statistics Office Latest actual data: 2011. Since 2011 we have used IMF staff?s and Malawian authorities? combined estimates for National Accounts data. National accounts manual used: System of National Accounts (SNA) 2008 GDP valuation: Market prices Start/end months of reporting year: January/December Base year: 2010 Chain-weighted: No Primary domestic currency: Malawi kwacha Data last updated: 08/2017,375.804,356.093,365.053,378.537,398.875,417.107,416.211,422.976,436.415,442.283,467.459,508.269,470.998,516.647,463.364,527.445,580.078,618.289,624.849,646.976,651.993,625.42,636.43,672.742,709.208,732.39,766.813,840.427,904.633,979.972,1047.34,1098.17,1118.88,1177.07,1244.16,1280.86,1309.94,1368.88,1437.33,1516.38,1599.78,1687.77,1780.6,2011
MYS,NGDP_R,Malaysia,"Gross domestic product, constant prices","Expressed in billions of national currency units; the base year is country-specific. Expenditure-based GDP is total final expenditures at purchasers? prices (including the f.o.b. value of exports of goods and services), less the f.o.b. value of imports of goods and services. [SNA 1993]",National currency,Billions,"Source: National Statistics Office. From Department of Statistics Malaysia (DOS) downloaded via CEIC Latest actual data: 2016. Latest actual quarterly data as of 2017Q2. Latest actual annual data as of 2016. Notes: GDP was rebased by the National Statistical Office, new base year is 2010. The official series starts in 2010. Data prior to that is spliced based on the old series. National accounts manual used: System of National Accounts (SNA) 2008 GDP valuation: Market prices Start/end months of reporting year: January/December Base year: 2010. Data prior to 2010 are spliced by the country team. Chain-weighted: No Primary domestic currency: Malaysian ringgit Data last updated: 09/2017",147.686,157.938,167.321,177.779,191.578,189.901,192.089,202.44,222.558,242.721,264.584,289.846,315.601,346.832,378.78,416.013,457.623,491.155,455.012,482.908,524.78,527.496,555.934,588.115,628.005,659.254,696.07,739.915,775.669,763.928,821.435,864.92,912.261,955.08,1012.45,1063.36,1108.23,1168.4,1224.02,1282.77,1345.63,1411.56,1480.73,2016
MDV,NGDP_R,Maldives,"Gross domestic product, constant prices","Expressed in billions of national currency units; the base year is country-specific. Expenditure-based GDP is total final expenditures at purchasers? prices (including the f.o.b. value of exports of goods and services), less the f.o.b. value of imports of goods and services. [SNA 1993]",National currency,Billions,Source: Ministry of Finance or Treasury. National Bureau of Statistics Latest actual data: 2015. The last two years are estimated figures National accounts manual used: System of National Accounts (SNA) 1993 GDP valuation: Market prices. Production-based measure. Start/end months of reporting year: January/December Base year: 2014 Chain-weighted: No Primary domestic currency: Maldivian rufiyaa Data last updated: 09/2017,5.274,5.69,6.115,6.385,7.494,8.529,9.262,10.083,10.962,11.981,11.496,12.289,13.083,13.792,14.827,15.921,17.367,19.174,21.051,22.573,23.65,24.466,25.958,32.55,34.485,29.866,37.567,40.622,44.488,41.539,44.485,48.236,49.36,52.867,56.867,58.744,61.035,63.813,66.783,70,73.483,77.133,80.981,2015
MLI,NGDP_R,Mali,"Gross domestic product, constant prices","Expressed in billions of national currency units; the base year is country-specific. Expenditure-based GDP is total final expenditures at purchasers? prices (including the f.o.b. value of exports of goods and services), less the f.o.b. value of imports of goods and services. [SNA 1993]",National currency,Billions,Source: National Statistics Office Latest actual data: 2016 Notes: National accounts have new methodology starting in 1990. National accounts manual used: System of National Accounts (SNA) 1993 GDP valuation: Market prices Start/end months of reporting year: January/December Base year: 1999 Chain-weighted: No Primary domestic currency: CFA franc Data last updated: 08/2017,1209.88,1154.92,1021.45,1054.42,1079.93,1114.95,1183,1212.33,1212.98,1342.67,1467.68,1580.4,1555.71,1611.11,1672.37,1722.49,1847.9,1936.54,1993.19,2117.67,2116.39,2441.81,2517.66,2747.24,2790.1,2972.43,3111.01,3219.69,3373.38,3531.22,3722.39,3843,3810.87,3898.65,4173.25,4422.08,4678.01,4925.94,5172.24,5415.33,5669.85,5936.34,6215.34,2016
MLT,NGDP_R,Malta,"Gross domestic product, constant prices","Expressed in billions of national currency units; the base year is country-specific. Expenditure-based GDP is total final expenditures at purchasers? prices (including the f.o.b. value of exports of goods and services), less the f.o.b. value of imports of goods and services. [SNA 1993]",National currency,Billions,"Source: Haver Analytics. Eurostat Latest actual data: 2016 National accounts manual used: European System of Accounts (ESA) 2010 GDP valuation: Market prices Start/end months of reporting year: January/December Base year: 2010 Chain-weighted: Yes, from 2000 Primary domestic currency: Euro Data last updated: 09/2017",n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,5.392,5.426,5.585,5.725,5.752,5.972,6.083,6.323,6.533,6.374,6.6,6.693,6.868,7.183,7.77,8.318,8.777,9.229,9.634,10,10.353,10.693,11.039,2016
MHL,NGDP_R,Marshall Islands,"Gross domestic product, constant prices","Expressed in billions of national currency units; the base year is country-specific. Expenditure-based GDP is total final expenditures at purchasers? prices (including the f.o.b. value of exports of goods and services), less the f.o.b. value of imports of goods and services. [SNA 1993]",National currency,Billions,Source: National Statistics Office Latest actual data: 2015/16 National accounts manual used: System of National Accounts (SNA) 1993 GDP valuation: Market prices Start/end months of reporting year: October/September Base year: 2003/04. Base year is Fiscal Year 2004 (Calendar Year 2003/2004). Chain-weighted: No Primary domestic currency: U.S. dollar Data last updated: 09/2017,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,0.117,0.114,0.121,0.128,0.131,0.131,0.131,0.135,0.137,0.142,0.14,0.137,0.146,0.148,0.153,0.158,0.156,0.156,0.159,0.162,0.165,0.168,0.171,0.174,0.176,0.179,2016
MRT,NGDP_R,Mauritania,"Gross domestic product, constant prices","Expressed in billions of national currency units; the base year is country-specific. Expenditure-based GDP is total final expenditures at purchasers? prices (including the f.o.b. value of exports of goods and services), less the f.o.b. value of imports of goods and services. [SNA 1993]",National currency,Billions,Source: National Statistics Office Latest actual data: 2014 National accounts manual used: System of National Accounts (SNA) 1993 GDP valuation: Market prices Start/end months of reporting year: January/December Base year: 2004 Chain-weighted: No Primary domestic currency: Mauritanian ouguiya Data last updated: 08/2017,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,328.844,328.844,334.67,354.327,343.482,377.212,399.161,383.016,393.656,424.018,422.193,430.674,433.537,459.457,485.863,529.442,629.343,647.077,654.065,647.249,678.147,710.047,751.195,796.945,841.411,849.148,863.913,896.412,923.613,966.117,1016.62,1062.82,1105.47,2014
MUS,NGDP_R,Mauritius,"Gross domestic product, constant prices","Expressed in billions of national currency units; the base year is country-specific. Expenditure-based GDP is total final expenditures at purchasers? prices (including the f.o.b. value of exports of goods and services), less the f.o.b. value of imports of goods and services. [SNA 1993]",National currency,Billions,"Source: National Statistics Office Latest actual data: 2016 Notes: Figures for exports and imports of services are not equal to those compiled by the BOM, due to the difference in sectoral coverage and the treatment of FISIM by CSO and BOM. National accounts manual used: System of National Accounts (SNA) 1993 GDP valuation: Market prices Start/end months of reporting year: January/December Base year: 2006 Chain-weighted: Yes, from 1999 Primary domestic currency: Mauritian rupee Data last updated: 09/2017",57.334,60.707,64.044,64.29,67.359,71.991,79.005,87.034,92.945,97.095,104.073,108.689,115.767,121.651,126.682,132.114,139.497,147.43,156.382,160.465,173.611,179.191,182.106,193.004,201.302,204.226,213.444,226.016,238.473,245.744,255.82,265.771,274.334,283.083,293.342,303.609,315.45,327.752,340.832,354.826,369.391,384.43,400.081,2016
MEX,NGDP_R,Mexico,"Gross domestic product, constant prices","Expressed in billions of national currency units; the base year is country-specific. Expenditure-based GDP is total final expenditures at purchasers? prices (including the f.o.b. value of exports of goods and services), less the f.o.b. value of imports of goods and services. [SNA 1993]",National currency,Billions,Source: National Statistics Office Latest actual data: 2016 National accounts manual used: System of National Accounts (SNA) 2008 GDP valuation: Market prices Start/end months of reporting year: January/December Base year: 2008 Chain-weighted: No Primary domestic currency: Mexican peso Data last updated: 08/2017,6046.45,6561.94,6527.77,6300.18,6515.07,6657.6,6452.62,6563.76,6647.99,6920.92,7279.13,7585.93,7854.56,8026.89,8433.43,7908.65,8453.96,9033.56,9460.38,9737.7,10243.61,10156.01,10185.53,10385.86,10832,11160.49,11718.67,12087.6,12256.86,11680.75,12277.66,12774.24,13287.53,13468.26,13773.99,14138.97,14462.16,14772.31,15045.83,15397.89,15808.45,16239.43,16671.91,2016
FSM,NGDP_R,Micronesia,"Gross domestic product, constant prices","Expressed in billions of national currency units; the base year is country-specific. Expenditure-based GDP is total final expenditures at purchasers? prices (including the f.o.b. value of exports of goods and services), less the f.o.b. value of imports of goods and services. [SNA 1993]",National currency,Billions,Source: National Statistics Office Latest actual data: 2014/15 National accounts manual used: System of National Accounts (SNA) 1993 GDP valuation: Market prices Start/end months of reporting year: October/September Base year: 2004 Chain-weighted: No Primary domestic currency: U.S. dollar Data last updated: 09/2017,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,0.239,0.232,0.218,0.224,0.227,0.238,0.243,0.244,0.248,0.241,0.246,0.245,0.24,0.235,0.238,0.246,0.248,0.244,0.237,0.231,0.239,0.247,0.252,0.255,0.258,0.259,0.261,0.263,2015
MDA,NGDP_R,Moldova,"Gross domestic product, constant prices","Expressed in billions of national currency units; the base year is country-specific. Expenditure-based GDP is total final expenditures at purchasers? prices (including the f.o.b. value of exports of goods and services), less the f.o.b. value of imports of goods and services. [SNA 1993]",National currency,Billions,Source: National Statistics Office Latest actual data: 2016 National accounts manual used: System of National Accounts (SNA) 1993 GDP valuation: Market prices Start/end months of reporting year: January/December Base year: 1995 Chain-weighted: No Primary domestic currency: Moldovan leu Data last updated: 08/2017,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,9.629,9.513,6.574,6.48,6.099,6.199,5.794,5.599,5.717,6.068,6.542,6.975,7.488,8.05,8.435,8.688,9.369,8.808,9.433,10.076,10.002,10.942,11.466,11.421,11.908,12.385,12.843,13.331,13.837,14.377,14.938,2016
MNG,NGDP_R,Mongolia,"Gross domestic product, constant prices","Expressed in billions of national currency units; the base year is country-specific. Expenditure-based GDP is total final expenditures at purchasers? prices (including the f.o.b. value of exports of goods and services), less the f.o.b. value of imports of goods and services. [SNA 1993]",National currency,Billions,Source: National Statistics Office. Discrepancies rise from staff estimates based on the balance of payment data and the authorities' data on net exports at constant price. Latest actual data: 2016 Notes: Data prior to 1991 cannot be confirmed by national sources. Data after 2000 has been rebased National accounts manual used: System of National Accounts (SNA) 1993 GDP valuation: Market prices Start/end months of reporting year: January/December Base year: 2010 Chain-weighted: No Primary domestic currency: Mongolian togrog Data last updated: 09/2017,3182.11,3448.65,3735.95,3952.35,4186.08,4423.82,4840.82,5012.28,5270.21,5490.66,5354.18,4861.67,4411.65,4271.85,4363.03,4641.23,4744.97,4929.87,5094.52,5250.94,5311.12,5557.48,5850.19,6280.61,6872.56,7319.78,7917.28,8610.58,9283.84,9091.71,9756.59,11443.58,12853.41,14350.69,15482.27,15847.22,16001.83,16326.91,16741.22,17870.08,18755.18,19845.92,21482.32,2016
MNE,NGDP_R,Montenegro,"Gross domestic product, constant prices","Expressed in billions of national currency units; the base year is country-specific. Expenditure-based GDP is total final expenditures at purchasers? prices (including the f.o.b. value of exports of goods and services), less the f.o.b. value of imports of goods and services. [SNA 1993]",National currency,Billions,Source: National Statistics Office Latest actual data: 2015 National accounts manual used: European System of Accounts (ESA) 1995 GDP valuation: Market prices Start/end months of reporting year: January/December Base year: 2006 Chain-weighted: No Primary domestic currency: Euro Data last updated: 08/2017,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,1.723,1.742,1.775,1.819,1.899,1.979,2.149,2.379,2.543,2.398,2.457,2.537,2.467,2.555,2.601,2.689,2.755,2.837,2.916,2.993,3.061,3.152,3.249,2015
MAR,NGDP_R,Morocco,"Gross domestic product, constant prices","Expressed in billions of national currency units; the base year is country-specific. Expenditure-based GDP is total final expenditures at purchasers? prices (including the f.o.b. value of exports of goods and services), less the f.o.b. value of imports of goods and services. [SNA 1993]",National currency,Billions,"Source: National Statistics Office Latest actual data: 2016 National accounts manual used: System of National Accounts (SNA) 1993 GDP valuation: Market prices Start/end months of reporting year: January/December Base year: 2007 Chain-weighted: Yes, from 2007 Primary domestic currency: Moroccan dirham Data last updated: 08/2017",235.644,229.129,251.168,249.769,260.602,277.082,300.081,292.446,322.903,330.543,343.879,368.694,360.96,358.286,396.222,374.804,421.178,414.605,444.616,449.424,458.021,491.548,506.891,537.108,562.873,581.401,625.44,647.53,685.885,714.992,742.274,781.212,804.726,841.224,863.68,902.973,914.012,958.087,987.169,1026.97,1069.96,1117.58,1168.83,2016
MOZ,NGDP_R,Mozambique,"Gross domestic product, constant prices","Expressed in billions of national currency units; the base year is country-specific. Expenditure-based GDP is total final expenditures at purchasers? prices (including the f.o.b. value of exports of goods and services), less the f.o.b. value of imports of goods and services. [SNA 1993]",National currency,Billions,Source: National Statistics Office. Instituto Nacional de Estadistica (INE). Latest actual data: 2016 Notes: Data prior to 1992 cannot be confirmed by national sources at this time. National accounts manual used: System of National Accounts (SNA) 1993. Authorities have incorporated certain aspects of the 2008 SNA manual. GDP valuation: Market prices Start/end months of reporting year: January/December Base year: 2009 Chain-weighted: No Primary domestic currency: Mozambican metical Data last updated: 09/2017,70.097,73.602,68.523,57.765,54.01,54.551,53.296,61.13,66.143,70.442,71.147,75.808,71.842,78.141,82.953,84.809,107.577,119.24,133.381,143.816,146.23,164.832,179.327,190.984,205.902,223.858,245.911,264.172,282.337,300.27,320.351,343.153,367.854,394.123,423.462,451.385,468.759,491.02,516.961,547.784,583.148,623.683,710.912,2016
MMR,NGDP_R,Myanmar,"Gross domestic product, constant prices","Expressed in billions of national currency units; the base year is country-specific. Expenditure-based GDP is total final expenditures at purchasers? prices (including the f.o.b. value of exports of goods and services), less the f.o.b. value of imports of goods and services. [SNA 1993]",National currency,Billions,Source: Ministry of National Planning and Economic Development Latest actual data: 2015/16 National accounts manual used: Other GDP valuation: Market prices. Data refer to fiscal years Start/end months of reporting year: April/March Base year: 2010/11 Chain-weighted: No Primary domestic currency: Myanmar kyat Data last updated: 09/2017,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,11196.98,11843.44,13139.72,14945.9,16641.35,18642.56,21223.44,24102.33,27372.76,30952.05,34663.65,35911.54,37758.67,39776.77,42000.88,45080.66,48879.16,52785.22,56476.23,59932.86,64268.29,69158.23,74329.94,79921.84,85948.08,92436.62,2016
NAM,NGDP_R,Namibia,"Gross domestic product, constant prices","Expressed in billions of national currency units; the base year is country-specific. Expenditure-based GDP is total final expenditures at purchasers? prices (including the f.o.b. value of exports of goods and services), less the f.o.b. value of imports of goods and services. [SNA 1993]",National currency,Billions,Source: National Statistics Office Latest actual data: 2016 National accounts manual used: System of National Accounts (SNA) 1993 GDP valuation: Market prices Start/end months of reporting year: January/December Base year: 2000 Chain-weighted: No Primary domestic currency: Namibia dollar Data last updated: 08/2017,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,18.795,19.799,21.635,21.284,21.924,22.826,23.555,24.548,25.356,26.21,27.126,27.776,29.631,30.661,32.695,34.222,35.573,36.87,37.847,37.959,40.251,42.301,44.442,46.937,49.918,52.909,53.481,53.904,55.265,57.162,59.158,61.296,63.514,2016
NRU,NGDP_R,Nauru,"Gross domestic product, constant prices","Expressed in billions of national currency units; the base year is country-specific. Expenditure-based GDP is total final expenditures at purchasers? prices (including the f.o.b. value of exports of goods and services), less the f.o.b. value of imports of goods and services. [SNA 1993]",National currency,Billions,"Source: Nauru Authorities, IMF staff estimates Latest actual data: 2015/16. Nauru Authorities, IMF staff estimates National accounts manual used: System of National Accounts (SNA) 1993 GDP valuation: Market prices Start/end months of reporting year: July/June Base year: 2006/07 Chain-weighted: No Primary domestic currency: Australian dollar Data last updated: 09/2017",n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,0.032,0.032,0.035,0.026,0.035,0.038,0.043,0.048,0.053,0.071,0.097,0.1,0.11,0.115,0.11,0.11,0.112,0.114,0.117,2016
NPL,NGDP_R,Nepal,"Gross domestic product, constant prices","Expressed in billions of national currency units; the base year is country-specific. Expenditure-based GDP is total final expenditures at purchasers? prices (including the f.o.b. value of exports of goods and services), less the f.o.b. value of imports of goods and services. [SNA 1993]",National currency,Billions,Source: National Statistics Office Latest actual data: 2015/16 National accounts manual used: System of National Accounts (SNA) 1993 GDP valuation: Market prices. Data refer to fiscal years Start/end months of reporting year: August/July. Fiscal year starts on July 16th. Base year: 2000/01. Data prior to 2000/01 were estimated by IMF staff by using data splicing Chain-weighted: No Primary domestic currency: Nepalese rupee Data last updated: 08/2017,161.548,175.023,181.639,176.23,193.291,205.169,214.537,218.183,234.976,245.145,256.508,272.838,284.046,294.973,319.217,330.289,347.919,366.223,376.999,393.9,417.991,441.518,442.049,459.488,481.004,497.739,514.486,532.038,564.517,590.107,618.529,639.694,670.279,697.954,739.754,764.336,767.492,825.049,865.983,899.035,933.182,968.784,1005.91,2016
NLD,NGDP_R,Netherlands,"Gross domestic product, constant prices","Expressed in billions of national currency units; the base year is country-specific. Expenditure-based GDP is total final expenditures at purchasers? prices (including the f.o.b. value of exports of goods and services), less the f.o.b. value of imports of goods and services. [SNA 1993]",National currency,Billions,"Source: National Statistics Office Latest actual data: 2016 National accounts manual used: ESA 2010 GDP valuation: Market prices Start/end months of reporting year: January/December Base year: 2010 Chain-weighted: Yes, from 1980 Primary domestic currency: Euro Data last updated: 09/2017",318.559,316.922,312.857,318.356,328.287,337.007,347.539,353.97,370.204,386.57,402.738,412.565,419.605,424.875,437.453,448.67,464.652,484.62,506.58,532.153,554.743,566.546,567.127,568.743,580.279,592.79,613.656,636.334,647.205,622.788,631.512,642.018,635.234,634.036,643.047,657.578,672.114,692.709,710.616,723.852,737.42,750.659,763.989,2016
NZL,NGDP_R,New Zealand,"Gross domestic product, constant prices","Expressed in billions of national currency units; the base year is country-specific. Expenditure-based GDP is total final expenditures at purchasers? prices (including the f.o.b. value of exports of goods and services), less the f.o.b. value of imports of goods and services. [SNA 1993]",National currency,Billions,"Source: National Statistics Office. Statistics New Zealand Latest actual data: 2016 GDP valuation: Market prices. Data refer to calendar years Start/end months of reporting year: January/December Base year: 2009/10. The base year is 2009Q2 to 2010Q1 Chain-weighted: Yes, from 1987 Primary domestic currency: New Zealand dollar Data last updated: 08/2017",90.267,92.94,95.615,95.496,102.045,103.282,105.152,107.714,108.312,109.916,111.089,108.679,109.607,114.947,122.598,127.936,132.781,136.754,137.8,143.903,149.775,153.118,160.916,168.259,175.648,180.132,185.094,192.423,191.629,192.316,196.126,199.818,204.887,209.198,215.119,221.988,229.942,237.944,245.17,251.377,257.702,264.271,270.668,2016
NIC,NGDP_R,Nicaragua,"Gross domestic product, constant prices","Expressed in billions of national currency units; the base year is country-specific. Expenditure-based GDP is total final expenditures at purchasers? prices (including the f.o.b. value of exports of goods and services), less the f.o.b. value of imports of goods and services. [SNA 1993]",National currency,Billions,"Source: Central Bank Latest actual data: 2016 Notes: Due to political and economic events (civil war and hyperinflation) data prior to 1995 are less reliable. National accounts manual used: System of National Accounts (SNA) 1993. In 2012 Nicaragua officially changed the base year of the national accounts from 1994 to 2006. In 2003 Nicaragua officially changed the base year of the national accounts from 1980 to 1994 and adopted the United Nations System of National Accounts (SNA93) for the calculation of GDP. Methodology described in: http://www.bcn.gob.ni/publicaciones/eventuales/pib_trimestral/PIB_Trimestral.pdf GDP valuation: Market prices Start/end months of reporting year: January/December Base year: 2006 Chain-weighted: Yes, from 1994. annual overlap Primary domestic currency: Nicaraguan c—rdoba Data last updated: 09/2017",79.191,83.436,82.754,86.573,85.218,81.738,80.908,80.337,70.375,69.183,69.091,68.984,69.26,68.983,72.432,76.715,81.582,84.818,87.966,94.155,98.017,100.919,101.68,104.243,109.781,114.482,118.838,124.87,129.161,124.908,130.416,138.654,147.661,154.937,162.351,170.23,178.235,186.255,194.264,203.006,212.141,221.688,231.664,2016
NER,NGDP_R,Niger,"Gross domestic product, constant prices","Expressed in billions of national currency units; the base year is country-specific. Expenditure-based GDP is total final expenditures at purchasers? prices (including the f.o.b. value of exports of goods and services), less the f.o.b. value of imports of goods and services. [SNA 1993]",National currency,Billions,Source: National Statistics Office Latest actual data: 2016 National accounts manual used: System of National Accounts (SNA) 1993 GDP valuation: Factor costs Start/end months of reporting year: January/December Base year: 2000 Chain-weighted: No Primary domestic currency: CFA franc Data last updated: 08/2017,1077.45,1075.53,1098.92,1056.46,878.767,946.591,1006.72,1007.61,1076.84,1087.15,1072.92,1099.64,1027.98,1042.88,1084.64,1012.94,1064.49,1069.77,1205.76,1217.74,1186.28,1281.66,1350.07,1445.31,1433.39,1554.02,1644.25,1696.3,1859.99,1846.75,2001.14,2045.35,2287.72,2408.25,2589.56,2692.15,2827.63,2946.48,3085.99,3245.72,3463.12,3674.01,3902.75,2016
NGA,NGDP_R,Nigeria,"Gross domestic product, constant prices","Expressed in billions of national currency units; the base year is country-specific. Expenditure-based GDP is total final expenditures at purchasers? prices (including the f.o.b. value of exports of goods and services), less the f.o.b. value of imports of goods and services. [SNA 1993]",National currency,Billions,"Source: National Statistics Office. Official re-based (2010) data for 2010-13 was published in July 2014, based on SNA 2008. Official backcasted data were published in July 2016 and 1990-2009 nominal and real GDP numbers were updated. However expenditure components of GDP are still IMF staff estimates and are subject to revision with official backcasted data. Latest actual data: 2016 Notes: Official backcasted data were published in July 2016 and 1990-2009 nominal and real GDP numbers were updated. However expenditure components of GDP are still IMF staff estimates and are subject to revision with official backcasted data. National accounts manual used: System of National Accounts (SNA) 2008 GDP valuation: Market prices Start/end months of reporting year: January/December Base year: 2010. from October WEO submission Chain-weighted: No Primary domestic currency: Nigerian naira Data last updated: 09/2017",n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,19305.63,19199.06,19620.19,19927.99,19979.12,20353.2,21177.92,21789.1,22332.87,22449.41,23688.28,25267.54,28957.71,31709.45,35020.55,37474.95,39995.51,42922.41,46012.52,49856.1,55469.35,58180.35,60670.05,63942.85,67977.46,69780.69,68652.43,69230.67,70539.35,71705.31,72956.13,74205.12,75500.94,2016
